Timestamp,ksurf-master1 CPU (m),ksurf-master1 Memory (MiB),ksurf-producer-aea9655c CPU (m),ksurf-producer-aea9655c Memory (MiB),ksurf-worker2-27aec434 CPU (m),ksurf-worker2-27aec434 Memory (MiB),ksurf-producer1-ede6efb4 CPU (m),ksurf-producer1-ede6efb4 Memory (MiB)
2024-12-14 00:09:36,81,2770,35,2398,194,744,-,-
2024-12-14 00:09:39,81,2770,35,2398,194,744,-,-
2024-12-14 00:09:41,81,2770,35,2398,194,744,-,-
2024-12-14 00:09:43,80,2770,403,2687,483,988,-,-
2024-12-14 00:09:45,80,2770,403,2687,483,988,-,-
2024-12-14 00:09:47,80,2770,403,2687,483,988,-,-
2024-12-14 00:09:49,80,2770,403,2687,483,988,-,-
2024-12-14 00:09:52,80,2770,403,2687,483,988,-,-
2024-12-14 00:09:54,80,2770,403,2687,483,988,-,-
2024-12-14 00:09:56,80,2770,403,2687,483,988,-,-
2024-12-14 00:09:58,549,2775,1482,2651,256,696,-,-
2024-12-14 00:10:01,549,2775,1482,2651,256,696,-,-
2024-12-14 00:10:03,549,2775,1482,2651,256,696,-,-
2024-12-14 00:10:05,549,2775,1482,2651,256,696,-,-
2024-12-14 00:10:07,549,2775,1482,2651,256,696,-,-
2024-12-14 00:10:09,549,2775,1482,2651,256,696,-,-
2024-12-14 00:10:11,549,2775,1482,2651,256,696,-,-
2024-12-14 00:10:14,824,2781,1498,2624,51,695,-,-
2024-12-14 00:10:16,824,2781,1498,2624,51,695,-,-
2024-12-14 00:10:18,824,2781,1498,2624,51,695,-,-
2024-12-14 00:10:20,824,2781,1498,2624,51,695,-,-
2024-12-14 00:10:22,824,2781,1498,2624,51,695,-,-
2024-12-14 00:10:24,824,2781,1498,2624,51,695,-,-
2024-12-14 00:10:27,824,2781,1498,2624,51,695,-,-
2024-12-14 00:10:29,774,2792,1041,2624,14,695,-,-
2024-12-14 00:10:31,774,2792,1041,2624,14,695,-,-
2024-12-14 00:10:33,774,2792,1041,2624,14,695,-,-
2024-12-14 00:10:35,774,2792,1041,2624,14,695,-,-
2024-12-14 00:10:38,774,2792,1041,2624,14,695,-,-
2024-12-14 00:10:40,774,2792,1041,2624,14,695,-,-
2024-12-14 00:10:42,800,2795,1384,2963,31,695,-,-
2024-12-14 00:10:44,800,2795,1384,2963,31,695,-,-
2024-12-14 00:10:46,800,2795,1384,2963,31,695,-,-
2024-12-14 00:10:49,800,2795,1384,2963,31,695,-,-
2024-12-14 00:10:51,800,2795,1384,2963,31,695,-,-
2024-12-14 00:10:53,800,2795,1384,2963,31,695,-,-
2024-12-14 00:10:55,800,2795,1384,2963,31,695,-,-
2024-12-14 00:10:57,765,2800,1478,2900,14,695,-,-
2024-12-14 00:10:59,765,2800,1478,2900,14,695,-,-
2024-12-14 00:11:02,765,2800,1478,2900,14,695,-,-
2024-12-14 00:11:04,765,2800,1478,2900,14,695,-,-
2024-12-14 00:11:06,765,2800,1478,2900,14,695,-,-
2024-12-14 00:11:08,765,2800,1478,2900,14,695,-,-
2024-12-14 00:11:10,765,2800,1478,2900,14,695,-,-
2024-12-14 00:11:13,915,2830,1696,3067,31,695,-,-
2024-12-14 00:11:15,915,2830,1696,3067,31,695,-,-
2024-12-14 00:11:17,915,2830,1696,3067,31,695,-,-
2024-12-14 00:11:19,915,2830,1696,3067,31,695,-,-
2024-12-14 00:11:22,915,2830,1696,3067,31,695,-,-
2024-12-14 00:11:24,915,2830,1696,3067,31,695,-,-
2024-12-14 00:11:26,915,2830,1696,3067,31,695,-,-
2024-12-14 00:11:28,1418,2803,2215,3171,9,695,-,-
2024-12-14 00:11:31,1418,2803,2215,3171,9,695,-,-
2024-12-14 00:11:33,1418,2803,2215,3171,9,695,-,-
2024-12-14 00:11:35,1418,2803,2215,3171,9,695,-,-
2024-12-14 00:11:37,1418,2803,2215,3171,9,695,-,-
2024-12-14 00:11:39,1418,2803,2215,3171,9,695,-,-
2024-12-14 00:11:42,1418,2803,2215,3171,9,695,-,-
2024-12-14 00:11:44,790,2804,1946,2940,38,695,-,-
2024-12-14 00:11:46,790,2804,1946,2940,38,695,-,-
2024-12-14 00:11:48,790,2804,1946,2940,38,695,-,-
2024-12-14 00:11:50,790,2804,1946,2940,38,695,-,-
2024-12-14 00:11:53,790,2804,1946,2940,38,695,-,-
2024-12-14 00:11:55,790,2804,1946,2940,38,695,-,-
2024-12-14 00:11:57,799,2806,1738,2804,11,696,-,-
2024-12-14 00:11:59,799,2806,1738,2804,11,696,-,-
2024-12-14 00:12:02,799,2806,1738,2804,11,696,-,-
2024-12-14 00:12:04,799,2806,1738,2804,11,696,-,-
2024-12-14 00:12:06,799,2806,1738,2804,11,696,-,-
2024-12-14 00:12:08,799,2806,1738,2804,11,696,-,-
2024-12-14 00:12:10,799,2806,1738,2804,11,696,-,-
2024-12-14 00:12:13,755,2808,2250,3244,31,695,-,-
2024-12-14 00:12:15,755,2808,2250,3244,31,695,-,-
2024-12-14 00:12:17,755,2808,2250,3244,31,695,-,-
2024-12-14 00:12:19,755,2808,2250,3244,31,695,-,-
2024-12-14 00:12:22,755,2808,2250,3244,31,695,-,-
2024-12-14 00:12:24,755,2808,2250,3244,31,695,-,-
2024-12-14 00:12:26,755,2808,2250,3244,31,695,-,-
2024-12-14 00:12:28,784,2813,2021,2800,10,695,-,-
