Start,End,Tweet Count
5/7/2023 19:56,5/7/2023 19:57,39
5/7/2023 19:57,5/7/2023 19:58,23
5/7/2023 19:58,5/7/2023 19:59,30
5/7/2023 19:59,5/7/2023 20:00,24
5/7/2023 20:00,5/7/2023 20:01,23
5/7/2023 20:01,5/7/2023 20:02,28
5/7/2023 20:02,5/7/2023 20:03,23
5/7/2023 20:03,5/7/2023 20:04,25
5/7/2023 20:04,5/7/2023 20:05,22
5/7/2023 20:05,5/7/2023 20:06,18
5/7/2023 20:06,5/7/2023 20:07,31
5/7/2023 20:07,5/7/2023 20:08,26
5/7/2023 20:08,5/7/2023 20:09,28
5/7/2023 20:09,5/7/2023 20:10,31
5/7/2023 20:10,5/7/2023 20:11,28
5/7/2023 20:11,5/7/2023 20:12,24
5/7/2023 20:12,5/7/2023 20:13,31
5/7/2023 20:13,5/7/2023 20:14,30
5/7/2023 20:14,5/7/2023 20:15,32
5/7/2023 20:15,5/7/2023 20:16,29
5/7/2023 20:16,5/7/2023 20:17,29
5/7/2023 20:17,5/7/2023 20:18,25
5/7/2023 20:18,5/7/2023 20:19,29
5/7/2023 20:19,5/7/2023 20:20,26
5/7/2023 20:20,5/7/2023 20:21,25
5/7/2023 20:21,5/7/2023 20:22,18
5/7/2023 20:22,5/7/2023 20:23,27
5/7/2023 20:23,5/7/2023 20:24,13
5/7/2023 20:24,5/7/2023 20:25,27
5/7/2023 20:25,5/7/2023 20:26,32
5/7/2023 20:26,5/7/2023 20:27,26
5/7/2023 20:27,5/7/2023 20:28,30
5/7/2023 20:28,5/7/2023 20:29,22
5/7/2023 20:29,5/7/2023 20:30,16
5/7/2023 20:30,5/7/2023 20:31,38
5/7/2023 20:31,5/7/2023 20:32,34
5/7/2023 20:32,5/7/2023 20:33,29
5/7/2023 20:33,5/7/2023 20:34,20
5/7/2023 20:34,5/7/2023 20:35,38
5/7/2023 20:35,5/7/2023 20:36,27
5/7/2023 20:36,5/7/2023 20:37,33
5/7/2023 20:37,5/7/2023 20:38,40
5/7/2023 20:38,5/7/2023 20:39,20
5/7/2023 20:39,5/7/2023 20:40,43
5/7/2023 20:40,5/7/2023 20:41,27
5/7/2023 20:41,5/7/2023 20:42,15
5/7/2023 20:42,5/7/2023 20:43,18
5/7/2023 20:43,5/7/2023 20:44,29
5/7/2023 20:44,5/7/2023 20:45,21
5/7/2023 20:45,5/7/2023 20:46,14
5/7/2023 20:46,5/7/2023 20:47,26
5/7/2023 20:47,5/7/2023 20:48,24
5/7/2023 20:48,5/7/2023 20:49,34
5/7/2023 20:49,5/7/2023 20:50,20
5/7/2023 20:50,5/7/2023 20:51,24
5/7/2023 20:51,5/7/2023 20:52,26
5/7/2023 20:52,5/7/2023 20:53,17
